reference,pin,net,status
C_F1_5,2,CELL0_FILTERED,candidate_connected
C_F2_0,1,CELL2_FILTERED,candidate_connected
C_F2_0,2,FILTER_2_MID,candidate_connected
C_F2_1,1,CELL2_FILTERED,candidate_connected
C_F2_1,2,FILTER_2_MID,candidate_connected
C_F2_2,1,CELL2_FILTERED,candidate_connected
C_F2_2,2,FILTER_2_MID,candidate_connected
C_F2_3,1,FILTER_2_MID,candidate_connected
C_F2_3,2,CELL1_FILTERED,candidate_connected
C_F2_4,1,FILTER_2_MID,candidate_connected
C_F2_4,2,CELL1_FILTERED,candidate_connected
C_F2_5,1,FILTER_2_MID,candidate_connected
C_F2_5,2,CELL1_FILTERED,candidate_connected
C_F3_0,1,CELL3_FILTERED,candidate_connected
C_F3_0,2,FILTER_3_MID,candidate_connected
C_F3_1,1,CELL3_FILTERED,candidate_connected
C_F3_1,2,FILTER_3_MID,candidate_connected
C_F3_2,1,CELL3_FILTERED,candidate_connected
C_F3_2,2,FILTER_3_MID,candidate_connected
C_F3_3,1,FILTER_3_MID,candidate_connected
C_F3_3,2,CELL2_FILTERED,candidate_connected
C_F3_4,1,FILTER_3_MID,candidate_connected
C_F3_4,2,CELL2_FILTERED,candidate_connected
C_F3_5,1,FILTER_3_MID,candidate_connected
C_F3_5,2,CELL2_FILTERED,candidate_connected
R_LD,1,PACK_POS_PROTECTED,candidate_connected
R_LD,2,BQ_LD,candidate_connected
R_PACK,1,PACK_POS_PROTECTED,candidate_connected
R_PACK,2,BQ_PACK,candidate_connected
R_BAT,1,CELL_POS_FUSED,candidate_connected
R_BAT,2,BQ_BAT_DIODE_A,candidate_connected
D_BAT,1,BQ_BAT_DIODE_A,candidate_connected
D_BAT,2,,NC
D_BAT,3,BQ_BAT_HOLD,candidate_connected
C_BAT,1,BQ_BAT_HOLD,candidate_connected
C_BAT,2,CELL_B_MINUS,candidate_connected
C_REG18_0,1,BQ_REG18,candidate_connected
C_REG18_0,2,CELL_B_MINUS,candidate_connected
C_REG18_1,1,BQ_REG18,candidate_connected
C_REG18_1,2,CELL_B_MINUS,candidate_connected
C_REG18_2,1,BQ_REG18,candidate_connected
C_REG18_2,2,CELL_B_MINUS,candidate_connected
C_CP1,1,BQ_CP1,candidate_connected
C_CP1,2,BQ_BAT_HOLD,candidate_connected
R_SHUNT,1,CELL_B_MINUS,candidate_connected
R_SHUNT,2,PACK_RETURN,candidate_connected
R_SRP,1,CELL_B_MINUS,candidate_connected
R_SRP,2,BQ_SRP,candidate_connected
R_SRN,1,PACK_RETURN,candidate_connected
R_SRN,2,BQ_SRN,candidate_connected
C_CURRENT,1,BQ_SRP,candidate_connected
C_CURRENT,2,BQ_SRN,candidate_connected
