reference,pin,net
CTRL__C_WD,1,CTRL3V3
CTRL__C_WD,2,PACK_RETURN
CTRL__R_WD_CWD,1,CTRL3V3
CTRL__R_WD_CWD,2,CTRL_WD_CWD
CTRL__U_RESET_BUFFER,1,
CTRL__U_RESET_BUFFER,2,CTRL_HOST_NRST
CTRL__U_RESET_BUFFER,3,PACK_RETURN
CTRL__U_RESET_BUFFER,4,CTRL_RESET_VALID_N
CTRL__U_RESET_BUFFER,5,CTRL3V3
CTRL__C_RESET_BUFFER,1,CTRL3V3
CTRL__C_RESET_BUFFER,2,PACK_RETURN
CTRL__U_PERMIT_LATCH,1,CTRL_ARM_EDGE
CTRL__U_PERMIT_LATCH,2,CTRL3V3
CTRL__U_PERMIT_LATCH,3,
CTRL__U_PERMIT_LATCH,4,PACK_RETURN
CTRL__U_PERMIT_LATCH,5,CTRL_LATCH_PERMIT
CTRL__U_PERMIT_LATCH,6,CTRL_RESET_VALID_N
CTRL__U_PERMIT_LATCH,7,CTRL3V3
CTRL__U_PERMIT_LATCH,8,CTRL3V3
CTRL__C_PERMIT_LATCH,1,CTRL3V3
CTRL__C_PERMIT_LATCH,2,PACK_RETURN
CTRL__U_MAIN_GATE,1,CTRL_MAIN_REQUEST_RAW
CTRL__U_MAIN_GATE,2,CTRL_LATCH_PERMIT
CTRL__U_MAIN_GATE,3,PACK_RETURN
CTRL__U_MAIN_GATE,4,MAIN_START_ALLOW
CTRL__U_MAIN_GATE,5,CTRL3V3
CTRL__C_MAIN_GATE,1,CTRL3V3
CTRL__C_MAIN_GATE,2,PACK_RETURN
CTRL__U_AUX_GATE,1,CTRL_AUX_REQUEST_RAW
CTRL__U_AUX_GATE,2,CTRL_LATCH_PERMIT
CTRL__U_AUX_GATE,3,PACK_RETURN
CTRL__U_AUX_GATE,4,LOGIC_START_ALLOW
CTRL__U_AUX_GATE,5,CTRL3V3
CTRL__C_AUX_GATE,1,CTRL3V3
CTRL__C_AUX_GATE,2,PACK_RETURN
CTRL__R_MAIN_REQUEST_RAW_PD,1,CTRL_MAIN_REQUEST_RAW
CTRL__R_MAIN_REQUEST_RAW_PD,2,PACK_RETURN
CTRL__R_AUX_REQUEST_RAW_PD,1,CTRL_AUX_REQUEST_RAW
CTRL__R_AUX_REQUEST_RAW_PD,2,PACK_RETURN
CTRL__R_ARM_EDGE_PD,1,CTRL_ARM_EDGE
CTRL__R_ARM_EDGE_PD,2,PACK_RETURN
CTRL__U_LDO,1,CONTROL_INPUT_PROTECTED
CTRL__U_LDO,2,PACK_RETURN
CTRL__U_LDO,3,
CTRL__U_LDO,4,
CTRL__U_LDO,5,CTRL3V3
CTRL__C_LDO_IN,1,CONTROL_INPUT_PROTECTED
CTRL__C_LDO_IN,2,PACK_RETURN
CTRL__C_LDO_OUT,1,CTRL3V3
CTRL__C_LDO_OUT,2,PACK_RETURN
CTRL__R_PACK_WARN_PU,1,CTRL3V3
CTRL__R_PACK_WARN_PU,2,PACK_UV_WARN_N
