reference,part,group
SYS__LEFT_R_DISCHARGE_1,CRCW1206360RFKEA,retained
SYS__LEFT_R_DISCHARGE_2,CRCW1206360RFKEA,retained
SYS__RIGHT_R_DISCHARGE_1,CRCW1206360RFKEA,retained
SYS__RIGHT_R_DISCHARGE_2,CRCW1206360RFKEA,retained
SYS__LEFT_R_REG_EN_PD,TNPW06032K21BEEA,retained
SYS__LEFT_R_REG_EN_SER,TNPW0603100RBEEA,retained
SYS__RIGHT_R_REG_EN_PD,TNPW06032K21BEEA,retained
SYS__RIGHT_R_REG_EN_SER,TNPW0603100RBEEA,retained
SYS__R_LOGIC_SHDN_PD,TNPW060310K0BEEA,retained
SYS__R_LOGIC_SHDN_SER,TNPW06031K00BEEA,retained
SYS__R_STOP_INPUT_0,TNPW12061K50BEEA,retained
SYS__R_STOP_INPUT_1,TNPW12061K50BEEA,retained
TAB5__U_PROTECT,TPS26601RHFR,retained
TAB5__R_UV_TOP,TNPW060360K4BEEA,retained
TAB5__R_UV_BOTTOM,TNPW060310K0BEEA,retained
TAB5__R_OV_TOP,TNPW0603124KBEEA,retained
TAB5__R_OV_BOTTOM,TNPW060310K0BEEA,retained
TAB5__R_ILIM,,retained
TAB5__C_PROTECT_IN_1,GRM31C5C1H104JA01L,retained
TAB5__C_PROTECT_IN_2,GRM31C5C1H104JA01L,retained
TAB5__C_PROTECT_OUT_1,GRM31C5C1H104JA01L,retained
TAB5__C_PROTECT_OUT_2,GRM31C5C1H104JA01L,retained
TAB5__R_SHDN_PD,TNPW060310K0BEEA,retained
TAB5__R_SHDN_SER,TNPW06031K00BEEA,retained
TAB5__C_DVDT,,retained
INLET__J_PACK,XT30U-M,retained
INLET__F_MAIN,0297010.L,retained
INLET__FH_MAIN,01530002H,retained
INLET__U_REVERSE,LM74700QDBVRQ1,retained
INLET__Q_REVERSE,CSD18540Q5BT,retained
INLET__C_IN,GRM31C5C1H104JA01L,retained
INLET__C_OUT_0,GRM31C5C1H104JA01L,retained
INLET__C_OUT_1,GRM31C5C1H104JA01L,retained
INLET__C_VCAP_0,GRM31C5C1H104JA01L,retained
INLET__C_VCAP_1,GRM31C5C1H104JA01L,retained
CTRL__U_HOST,STM32G030F6P6,pack_control
CTRL__C_HOST_HF,GRM31C5C1H104JA01L,pack_control
CTRL__C_HOST_BULK,GRM31CR71H475KA12L,pack_control
CTRL__C_HOST_NRST,GRM31C5C1H104JA01L,pack_control
CTRL__R_HOST_NRST,TNPW0603100KBEEA,pack_control
CTRL__R_AUX_START_REQUEST_PD,TNPW060347K5BEEA,pack_control
CTRL__R_HOST_HEARTBEAT_PD,TNPW060310K0BEEA,pack_control
CTRL__U_HOST_SUP,TPS3808G01DBVR,pack_control
CTRL__R_HOST_SUP_TOP,TNPW060357K6BEEA,pack_control
CTRL__R_HOST_SUP_BOTTOM,TNPW060310K0BEEA,pack_control
CTRL__C_HOST_SUP,GRM31C5C1H104JA01L,pack_control
CTRL__U_WD,TPS3431SDRBR,pack_control
CTRL__C_WD,GRM31C5C1H104JA01L,pack_control
CTRL__R_WD_CWD,TNPW060310K0BEEA,pack_control
CTRL__U_RESET_BUFFER,74LVC1G17GV,pack_control
CTRL__C_RESET_BUFFER,GRM31C5C1H104JA01L,pack_control
CTRL__U_PERMIT_LATCH,SN74LVC1G74DCTR,pack_control
CTRL__C_PERMIT_LATCH,GRM31C5C1H104JA01L,pack_control
CTRL__U_MAIN_GATE,SN74LVC1G08DBVR,pack_control
CTRL__C_MAIN_GATE,GRM31C5C1H104JA01L,pack_control
CTRL__U_AUX_GATE,SN74LVC1G08DBVR,pack_control
CTRL__C_AUX_GATE,GRM31C5C1H104JA01L,pack_control
CTRL__R_MAIN_REQUEST_RAW_PD,TNPW060310K0BEEA,pack_control
CTRL__R_AUX_REQUEST_RAW_PD,TNPW060310K0BEEA,pack_control
CTRL__R_ARM_EDGE_PD,TNPW060310K0BEEA,pack_control
CTRL__U_LDO,TPS70933DBVR,pack_control
CTRL__C_LDO_IN,MKS2C042201K00JSSD,pack_control
CTRL__C_LDO_OUT,GRM31CR71H475KA12L,pack_control
CTRL__R_PACK_WARN_PU,TNPW060310K0BEEA,pack_control
U_CTRL_INPUT_LIMIT,TPS26600RHFR,pack_control
R_CTRL_INPUT_UV_TOP,TNPW060340K2BEEA,pack_control
R_CTRL_INPUT_UV_BOTTOM,TNPW060310K0BEEA,pack_control
R_CTRL_INPUT_OV_TOP,TNPW0603124KBEEA,pack_control
R_CTRL_INPUT_OV_BOTTOM,TNPW060310K0BEEA,pack_control
R_CTRL_INPUT_ILIM,TNPW0603118KBEEA,pack_control
C_CTRL_INPUT_PROTECT_IN_1,GRM31C5C1H104JA01L,pack_control
C_CTRL_INPUT_PROTECT_IN_2,GRM31C5C1H104JA01L,pack_control
C_CTRL_INPUT_PROTECT_OUT_1,GRM31C5C1H104JA01L,pack_control
C_CTRL_INPUT_PROTECT_OUT_2,GRM31C5C1H104JA01L,pack_control
R_CTRL_INPUT_MODE,TNPW0805402KBEEA,pack_control
C_CTRL_INPUT_DVDT,GRM31C5C1H104JA01L,pack_control
IF_MAIN__U_BUFFER,74LVC1G17GV,main_interface
IF_MAIN__R_INPUT_PD,TNPW060310K0BEEA,main_interface
IF_MAIN__C_HF,GRM31C5C1H104JA01L,main_interface
IF_CLEAR__U_OD,SN74LVC1G07DBVR,sequence_clear_interface
IF_CLEAR__R_INPUT_PU,TNPW060310K0BEEA,sequence_clear_interface
IF_CLEAR__C_HF,GRM31C5C1H104JA01L,sequence_clear_interface
IF_CLEAR__U_SCHMITT,74LVC1G17GV,sequence_clear_interface
IF_CLEAR__C_SCHMITT,GRM31C5C1H104JA01L,sequence_clear_interface
