reference,pin,net
SYS__LEFT_U_WINDOW,4,SYS__LEFT_SOURCE_OV_SENSE
SYS__LEFT_U_WINDOW,5,SYS__STOP_AUX3V3
SYS__LEFT_U_WINDOW,6,SYS__RAIL_HEALTH_N
SYS__LEFT_R_SOURCE_UV_TOP,1,SYS__LEFT_REGULATOR_OUT
SYS__LEFT_R_SOURCE_UV_TOP,2,SYS__LEFT_SOURCE_UV_SENSE
SYS__LEFT_R_SOURCE_UV_BOTTOM,1,SYS__LEFT_SOURCE_UV_SENSE
SYS__LEFT_R_SOURCE_UV_BOTTOM,2,PACK_RETURN
SYS__LEFT_R_SOURCE_OV_TOP,1,SYS__LEFT_REGULATOR_OUT
SYS__LEFT_R_SOURCE_OV_TOP,2,SYS__LEFT_SOURCE_OV_SENSE
SYS__LEFT_R_SOURCE_OV_BOTTOM,1,SYS__LEFT_SOURCE_OV_SENSE
SYS__LEFT_R_SOURCE_OV_BOTTOM,2,PACK_RETURN
SYS__LEFT_C_WINDOW,1,SYS__STOP_AUX3V3
SYS__LEFT_C_WINDOW,2,PACK_RETURN
SYS__RIGHT_U_WINDOW,1,SYS__RAIL_HEALTH_N
SYS__RIGHT_U_WINDOW,2,PACK_RETURN
SYS__RIGHT_U_WINDOW,3,SYS__RIGHT_SOURCE_UV_SENSE
SYS__RIGHT_U_WINDOW,4,SYS__RIGHT_SOURCE_OV_SENSE
SYS__RIGHT_U_WINDOW,5,SYS__STOP_AUX3V3
SYS__RIGHT_U_WINDOW,6,SYS__RAIL_HEALTH_N
SYS__RIGHT_R_SOURCE_UV_TOP,1,SYS__RIGHT_REGULATOR_OUT
SYS__RIGHT_R_SOURCE_UV_TOP,2,SYS__RIGHT_SOURCE_UV_SENSE
SYS__RIGHT_R_SOURCE_UV_BOTTOM,1,SYS__RIGHT_SOURCE_UV_SENSE
SYS__RIGHT_R_SOURCE_UV_BOTTOM,2,PACK_RETURN
SYS__RIGHT_R_SOURCE_OV_TOP,1,SYS__RIGHT_REGULATOR_OUT
SYS__RIGHT_R_SOURCE_OV_TOP,2,SYS__RIGHT_SOURCE_OV_SENSE
SYS__RIGHT_R_SOURCE_OV_BOTTOM,1,SYS__RIGHT_SOURCE_OV_SENSE
SYS__RIGHT_R_SOURCE_OV_BOTTOM,2,PACK_RETURN
SYS__RIGHT_C_WINDOW,1,SYS__STOP_AUX3V3
SYS__RIGHT_C_WINDOW,2,PACK_RETURN
SYS__U_MONITOR_START,1,SYS__MONITOR_START_READY_OD
SYS__U_MONITOR_START,2,PACK_RETURN
SYS__U_MONITOR_START,3,SYS__STOP_AUX3V3
SYS__U_MONITOR_START,4,
SYS__U_MONITOR_START,5,SYS__STOP_AUX3V3
SYS__U_MONITOR_START,6,SYS__STOP_AUX3V3
SYS__R_MONITOR_START,1,SYS__STOP_AUX3V3
SYS__R_MONITOR_START,2,SYS__MONITOR_START_READY_OD
SYS__C_MONITOR_START,1,SYS__STOP_AUX3V3
SYS__C_MONITOR_START,2,PACK_RETURN
SYS__U_MONITOR_RX,1,
SYS__U_MONITOR_RX,2,SYS__MONITOR_START_READY_OD
SYS__U_MONITOR_RX,3,PACK_RETURN
SYS__U_MONITOR_RX,4,SYS__MONITOR_START_READY_LOGIC
SYS__U_MONITOR_RX,5,SYS__LOGIC3V3
SYS__R_MONITOR_RX_OFF,1,SYS__MONITOR_START_READY_LOGIC
SYS__R_MONITOR_RX_OFF,2,PACK_RETURN
SYS__C_MONITOR_RX,1,SYS__LOGIC3V3
SYS__C_MONITOR_RX,2,PACK_RETURN
SYS__R_SEQUENCE_OFF,1,SYS__SEQUENCE_ENABLE_REQUEST
SYS__R_SEQUENCE_OFF,2,PACK_RETURN
SYS__D_STOP_REVERSE,1,SYS__STOP_INPUT_LIMITED
SYS__D_STOP_REVERSE,2,
SYS__D_STOP_REVERSE,3,SYS__STOP_LDO_INPUT
SYS__R_STOP_INPUT_BLEED,1,SYS__STOP_LDO_INPUT
SYS__R_STOP_INPUT_BLEED,2,PACK_RETURN
SYS__C_STOP_IN_HF,1,SYS__STOP_LDO_INPUT
SYS__C_STOP_IN_HF,2,PACK_RETURN
SYS__U_LOGIC_PROTECT,1,
SYS__U_LOGIC_PROTECT,2,
SYS__U_LOGIC_PROTECT,3,
SYS__U_LOGIC_PROTECT,4,
SYS__U_LOGIC_PROTECT,5,
SYS__U_LOGIC_PROTECT,6,
SYS__U_LOGIC_PROTECT,7,
SYS__U_LOGIC_PROTECT,8,PACK_FUSED_REVERSE_PROTECTED
SYS__U_LOGIC_PROTECT,9,PACK_FUSED_REVERSE_PROTECTED
SYS__U_LOGIC_PROTECT,10,SYS__LOGIC_UVLO
SYS__U_LOGIC_PROTECT,11,
SYS__U_LOGIC_PROTECT,12,SYS__LOGIC_OVP
SYS__U_LOGIC_PROTECT,13,
SYS__U_LOGIC_PROTECT,14,SYS__LOGIC_SHDN
SYS__U_LOGIC_PROTECT,15,SYS__LOGIC_PROTECT_RTN
SYS__U_LOGIC_PROTECT,16,
SYS__U_LOGIC_PROTECT,17,PACK_RETURN
SYS__U_LOGIC_PROTECT,18,
SYS__U_LOGIC_PROTECT,19,SYS__LOGIC_ILIM
SYS__U_LOGIC_PROTECT,20,
SYS__U_LOGIC_PROTECT,21,
SYS__U_LOGIC_PROTECT,22,
SYS__U_LOGIC_PROTECT,23,SYS__LOGIC_PROTECTED_INPUT
SYS__U_LOGIC_PROTECT,24,SYS__LOGIC_PROTECTED_INPUT
SYS__U_LOGIC_PROTECT,EP,SYS__LOGIC_PROTECT_RTN
SYS__R_LOGIC_UV_TOP,1,PACK_FUSED_REVERSE_PROTECTED
SYS__R_LOGIC_UV_TOP,2,SYS__LOGIC_UVLO
SYS__R_LOGIC_UV_BOTTOM,1,SYS__LOGIC_UVLO
SYS__R_LOGIC_UV_BOTTOM,2,SYS__LOGIC_PROTECT_RTN
SYS__R_LOGIC_OV_TOP,1,PACK_FUSED_REVERSE_PROTECTED
SYS__R_LOGIC_OV_TOP,2,SYS__LOGIC_OVP
SYS__R_LOGIC_OV_BOTTOM,1,SYS__LOGIC_OVP
SYS__R_LOGIC_OV_BOTTOM,2,SYS__LOGIC_PROTECT_RTN
SYS__R_LOGIC_ILIM,1,SYS__LOGIC_ILIM
SYS__R_LOGIC_ILIM,2,SYS__LOGIC_PROTECT_RTN
SYS__R_LOGIC_INPUT_BLEED,1,PACK_FUSED_REVERSE_PROTECTED
SYS__R_LOGIC_INPUT_BLEED,2,PACK_RETURN
SYS__C_LOGIC_PROTECT_IN_1,1,PACK_FUSED_REVERSE_PROTECTED
SYS__C_LOGIC_PROTECT_IN_1,2,PACK_RETURN
SYS__C_LOGIC_PROTECT_IN_2,1,PACK_FUSED_REVERSE_PROTECTED
SYS__C_LOGIC_PROTECT_IN_2,2,PACK_RETURN
SYS__C_LOGIC_PROTECT_OUT_1,1,SYS__LOGIC_PROTECTED_INPUT
SYS__C_LOGIC_PROTECT_OUT_1,2,PACK_RETURN
SYS__C_LOGIC_PROTECT_OUT_2,1,SYS__LOGIC_PROTECTED_INPUT
SYS__C_LOGIC_PROTECT_OUT_2,2,PACK_RETURN
SYS__U_LOGIC_LDO,1,SYS__LOGIC3V3
SYS__U_LOGIC_LDO,2,
SYS__U_LOGIC_LDO,3,PACK_RETURN
SYS__U_LOGIC_LDO,4,
SYS__U_LOGIC_LDO,5,
SYS__U_LOGIC_LDO,6,SYS__LOGIC_PROTECTED_INPUT
SYS__U_LOGIC_LDO,EP,PACK_RETURN
SYS__C_LOGIC_LDO_OUT,1,SYS__LOGIC3V3
SYS__C_LOGIC_LDO_OUT,2,PACK_RETURN
SYS__LEFT_U_REGULATOR,VIN,PACK_FUSED_REVERSE_PROTECTED
SYS__LEFT_U_REGULATOR,GND,PACK_RETURN
SYS__LEFT_U_REGULATOR,VOUT,SYS__LEFT_REGULATOR_OUT
SYS__LEFT_U_REGULATOR,ENA,SYS__LEFT_REGULATOR_ENA
SYS__LEFT_U_REGULATOR,ENB,
SYS__LEFT_U_REGULATOR,PFM,
SYS__LEFT_U_REGULATOR,PG,
SYS__RIGHT_U_REGULATOR,VIN,PACK_FUSED_REVERSE_PROTECTED
SYS__RIGHT_U_REGULATOR,GND,PACK_RETURN
SYS__RIGHT_U_REGULATOR,VOUT,SYS__RIGHT_REGULATOR_OUT
SYS__RIGHT_U_REGULATOR,ENA,SYS__RIGHT_REGULATOR_ENA
SYS__RIGHT_U_REGULATOR,ENB,
SYS__RIGHT_U_REGULATOR,PFM,
SYS__RIGHT_U_REGULATOR,PG,
SYS__LEFT_R_DISCHARGE_1,1,SYS__LEFT_SERVO_BUS
SYS__LEFT_R_DISCHARGE_1,2,PACK_RETURN
SYS__LEFT_R_DISCHARGE_2,1,SYS__LEFT_SERVO_BUS
SYS__LEFT_R_DISCHARGE_2,2,PACK_RETURN
SYS__RIGHT_R_DISCHARGE_1,1,SYS__RIGHT_SERVO_BUS
SYS__RIGHT_R_DISCHARGE_1,2,PACK_RETURN
SYS__RIGHT_R_DISCHARGE_2,1,SYS__RIGHT_SERVO_BUS
SYS__RIGHT_R_DISCHARGE_2,2,PACK_RETURN
SYS__LEFT_R_REG_EN_PD,1,SYS__LEFT_REGULATOR_ENA
SYS__LEFT_R_REG_EN_PD,2,PACK_RETURN
SYS__LEFT_R_REG_EN_SER,1,SYS__LEFT_REGULATOR_ALLOW
SYS__LEFT_R_REG_EN_SER,2,SYS__LEFT_REGULATOR_ENA
SYS__RIGHT_R_REG_EN_PD,1,SYS__RIGHT_REGULATOR_ENA
SYS__RIGHT_R_REG_EN_PD,2,PACK_RETURN
SYS__RIGHT_R_REG_EN_SER,1,SYS__RIGHT_REGULATOR_ALLOW
SYS__RIGHT_R_REG_EN_SER,2,SYS__RIGHT_REGULATOR_ENA
SYS__R_LOGIC_SHDN_PD,1,SYS__LOGIC_SHDN
SYS__R_LOGIC_SHDN_PD,2,PACK_RETURN
SYS__R_LOGIC_SHDN_SER,1,SYS__LOGIC_START_ALLOW
SYS__R_LOGIC_SHDN_SER,2,SYS__LOGIC_SHDN
SYS__R_STOP_INPUT_0,1,PACK_FUSED_REVERSE_PROTECTED
SYS__R_STOP_INPUT_0,2,SYS__STOP_INPUT_LIMITED
SYS__R_STOP_INPUT_1,1,PACK_FUSED_REVERSE_PROTECTED
SYS__R_STOP_INPUT_1,2,SYS__STOP_INPUT_LIMITED
TAB5__U_PROTECT,1,
TAB5__U_PROTECT,2,
TAB5__U_PROTECT,3,
TAB5__U_PROTECT,4,
TAB5__U_PROTECT,5,
TAB5__U_PROTECT,6,
TAB5__U_PROTECT,7,
TAB5__U_PROTECT,8,PACK_FUSED_REVERSE_PROTECTED
TAB5__U_PROTECT,9,PACK_FUSED_REVERSE_PROTECTED
TAB5__U_PROTECT,10,TAB5_UVLO
TAB5__U_PROTECT,11,
TAB5__U_PROTECT,12,TAB5_OVP
TAB5__U_PROTECT,13,
TAB5__U_PROTECT,14,TAB5_SHDN
TAB5__U_PROTECT,15,TAB5_PROTECT_RTN
TAB5__U_PROTECT,16,
TAB5__U_PROTECT,17,PACK_RETURN
TAB5__U_PROTECT,18,
TAB5__U_PROTECT,19,TAB5_ILIM
TAB5__U_PROTECT,20,TAB5_DVDT
TAB5__U_PROTECT,21,
TAB5__U_PROTECT,22,
TAB5__U_PROTECT,23,TAB5_SYS_VIN
TAB5__U_PROTECT,24,TAB5_SYS_VIN
TAB5__U_PROTECT,EP,TAB5_PROTECT_RTN
TAB5__R_UV_TOP,1,PACK_FUSED_REVERSE_PROTECTED
TAB5__R_UV_TOP,2,TAB5_UVLO
TAB5__R_UV_BOTTOM,1,TAB5_UVLO
TAB5__R_UV_BOTTOM,2,TAB5_PROTECT_RTN
TAB5__R_OV_TOP,1,PACK_FUSED_REVERSE_PROTECTED
TAB5__R_OV_TOP,2,TAB5_OVP
TAB5__R_OV_BOTTOM,1,TAB5_OVP
TAB5__R_OV_BOTTOM,2,TAB5_PROTECT_RTN
TAB5__R_ILIM,1,TAB5_ILIM
TAB5__R_ILIM,2,TAB5_PROTECT_RTN
TAB5__C_PROTECT_IN_1,1,PACK_FUSED_REVERSE_PROTECTED
TAB5__C_PROTECT_IN_1,2,PACK_RETURN
TAB5__C_PROTECT_IN_2,1,PACK_FUSED_REVERSE_PROTECTED
TAB5__C_PROTECT_IN_2,2,PACK_RETURN
TAB5__C_PROTECT_OUT_1,1,TAB5_SYS_VIN
TAB5__C_PROTECT_OUT_1,2,PACK_RETURN
TAB5__C_PROTECT_OUT_2,1,TAB5_SYS_VIN
TAB5__C_PROTECT_OUT_2,2,PACK_RETURN
TAB5__R_SHDN_PD,1,TAB5_SHDN
TAB5__R_SHDN_PD,2,PACK_RETURN
TAB5__R_SHDN_SER,1,TAB5_START_ALLOW
TAB5__R_SHDN_SER,2,TAB5_SHDN
TAB5__C_DVDT,1,TAB5_DVDT
TAB5__C_DVDT,2,TAB5_PROTECT_RTN
INLET__J_PACK,+,PACK_OUTPUT_POS
INLET__J_PACK,-,PACK_RETURN
INLET__F_MAIN,1,PACK_OUTPUT_POS
INLET__F_MAIN,2,PACK_FUSED_RAW
INLET__U_REVERSE,1,INLET_VCAP
INLET__U_REVERSE,2,PACK_RETURN
INLET__U_REVERSE,3,PACK_FUSED_RAW
INLET__U_REVERSE,4,PACK_FUSED_REVERSE_PROTECTED
INLET__U_REVERSE,5,INLET_GATE
INLET__U_REVERSE,6,PACK_FUSED_RAW
INLET__Q_REVERSE,1,PACK_FUSED_RAW
INLET__Q_REVERSE,2,PACK_FUSED_RAW
INLET__Q_REVERSE,3,PACK_FUSED_RAW
INLET__Q_REVERSE,4,INLET_GATE
INLET__Q_REVERSE,5,PACK_FUSED_REVERSE_PROTECTED
INLET__Q_REVERSE,6,PACK_FUSED_REVERSE_PROTECTED
INLET__Q_REVERSE,7,PACK_FUSED_REVERSE_PROTECTED
INLET__Q_REVERSE,8,PACK_FUSED_REVERSE_PROTECTED
INLET__Q_REVERSE,exposed_drain_pad,PACK_FUSED_REVERSE_PROTECTED
INLET__C_IN,1,PACK_FUSED_RAW
INLET__C_IN,2,PACK_RETURN
INLET__C_OUT_0,1,PACK_FUSED_REVERSE_PROTECTED
INLET__C_OUT_0,2,PACK_RETURN
INLET__C_OUT_1,1,PACK_FUSED_REVERSE_PROTECTED
INLET__C_OUT_1,2,PACK_RETURN
