reference,part,status
LEFT_U_POWER,TPS259813LRPW,candidate_not_released
LEFT_Q_REVERSE,SiSS80DN-T1-GE3 comparison only,candidate_not_released
LEFT_R_GATE,,unselected
LEFT_C_GATE,,unselected
RIGHT_U_POWER,TPS259813LRPW,candidate_not_released
RIGHT_Q_REVERSE,SiSS80DN-T1-GE3 comparison only,candidate_not_released
RIGHT_R_GATE,,unselected
RIGHT_C_GATE,,unselected
LEFT_R_ILM,,unselected
RIGHT_R_ILM,,unselected
LEFT_R_OV_TOP,,unselected
LEFT_R_OV_BOTTOM,,unselected
RIGHT_R_OV_TOP,,unselected
RIGHT_R_OV_BOTTOM,,unselected
U_STOP_LDO,TPS70933DBVR,candidate_not_released
C_STOP_IN,MKS2C042201K00JSSD,candidate_not_released
C_STOP_OUT,GRM31CR71H475KA12L,candidate_not_released
R_STOP_MIN_LOAD,TNPW060330K1BYEA,candidate_not_released
LEFT_R_EN_PULLDOWN,TNPW060378K7BYEA,candidate_not_released
RIGHT_R_EN_PULLDOWN,TNPW060378K7BYEA,candidate_not_released
LEFT_U_WINDOW,TPS3700DDCR,candidate_not_released
LEFT_R_SOURCE_UV_TOP,TNPW0603102KBYEA,candidate_not_released
LEFT_R_SOURCE_UV_BOTTOM,TNPW060310K0BYEA,candidate_not_released
LEFT_R_SOURCE_OV_TOP,TNPW0603130KBYEA,candidate_not_released
LEFT_R_SOURCE_OV_BOTTOM,TNPW060310K0BYEA,candidate_not_released
LEFT_R_WINDOW_PULLUP,TNPW060310K0BYEA,candidate_not_released
LEFT_C_WINDOW,GRM31C5C1H104JA01L,candidate_not_released
RIGHT_U_WINDOW,TPS3700DDCR,candidate_not_released
RIGHT_R_SOURCE_UV_TOP,TNPW0603102KBYEA,candidate_not_released
RIGHT_R_SOURCE_UV_BOTTOM,TNPW060310K0BYEA,candidate_not_released
RIGHT_R_SOURCE_OV_TOP,TNPW0603130KBYEA,candidate_not_released
RIGHT_R_SOURCE_OV_BOTTOM,TNPW060310K0BYEA,candidate_not_released
RIGHT_R_WINDOW_PULLUP,TNPW060310K0BYEA,candidate_not_released
RIGHT_C_WINDOW,GRM31C5C1H104JA01L,candidate_not_released
U_MONITOR_START,TPS3808G33DBVR,candidate_not_released
R_MONITOR_START,TNPW0603100KBYEA,candidate_not_released
C_MONITOR_START,GRM31C5C1H104JA01L,candidate_not_released
U_MONITOR_RX,SN74AUP1T50DCKR,candidate_not_released
R_MONITOR_RX_OFF,TNPW0603220KBYEA,candidate_not_released
C_MONITOR_RX,GRM31C5C1H104JA01L,candidate_not_released
R_SEQUENCE_OFF,TNPW060310K0BYEA,candidate_not_released
R_STOP_INPUT,TNPW12061K00BYEA,candidate_not_released
D_STOP_REVERSE,BAS116,candidate_not_released
R_STOP_INPUT_BLEED,TNPW0603100KBYEA,candidate_not_released
C_STOP_IN_HF,GRM31C5C1H104JA01L,candidate_not_released
U_LOGIC_PROTECT,TPS26601RHFR,candidate_not_released
R_LOGIC_UV_TOP,TNPW060340K2BEEA,candidate_not_released
R_LOGIC_UV_BOTTOM,TNPW060310K0BEEA,candidate_not_released
R_LOGIC_OV_TOP,TNPW0603124KBEEA,candidate_not_released
R_LOGIC_OV_BOTTOM,TNPW060310K0BEEA,candidate_not_released
R_LOGIC_ILIM,TNPW0603118KBEEA,candidate_not_released
R_LOGIC_INPUT_BLEED,TNPW0603100KBEEA,candidate_not_released
C_LOGIC_PROTECT_IN_1,GRM31C5C1H104JA01L,candidate_not_released
C_LOGIC_PROTECT_IN_2,GRM31C5C1H104JA01L,candidate_not_released
C_LOGIC_PROTECT_OUT_1,GRM31C5C1H104JA01L,candidate_not_released
C_LOGIC_PROTECT_OUT_2,GRM31C5C1H104JA01L,candidate_not_released
U_LOGIC_LDO,TPS70933DRVR,candidate_not_released
C_LOGIC_LDO_OUT,T520A226M010ATE080,candidate_not_released
