reference,part,pin,net
C4,100nF local ceramic candidate; exact part pending,1,LOGIC3V3
C4,100nF local ceramic candidate; exact part pending,2,GND
C5,100nF local ceramic candidate; exact part pending,1,LOGIC3V3
C5,100nF local ceramic candidate; exact part pending,2,GND
C6,100nF local ceramic candidate; exact part pending,1,LOGIC3V3
C6,100nF local ceramic candidate; exact part pending,2,GND
SW1,NO momentary enable button; part/contact characteristics pending,1,BUTTON_RAW
SW1,NO momentary enable button; part/contact characteristics pending,2,GND
U7,TPS3808G33DBVR,1,RESET_N
U7,TPS3808G33DBVR,2,GND
U7,TPS3808G33DBVR,3,RAIL_HEALTH_N
U7,TPS3808G33DBVR,4,SUPERVISOR_CT
U7,TPS3808G33DBVR,5,LOGIC3V3
U7,TPS3808G33DBVR,6,LOGIC3V3
R3,100k value candidate; exact part/tolerance pending,1,LOGIC3V3
R3,100k value candidate; exact part/tolerance pending,2,SUPERVISOR_CT
R4,100k value candidate; exact part/tolerance pending,1,LOGIC3V3
R4,100k value candidate; exact part/tolerance pending,2,RESET_N
C7,100nF local ceramic candidate; exact part pending,1,LOGIC3V3
C7,100nF local ceramic candidate; exact part pending,2,GND
U8,74LVC1G17GV,1,NC
U8,74LVC1G17GV,2,POWER_ENABLE_COMMAND
U8,74LVC1G17GV,3,GND
U8,74LVC1G17GV,4,ENABLE_BUFFER_OUT
U8,74LVC1G17GV,5,LOGIC3V3
R5,"39k pulldown; total +/-1% budget, part pending",1,MAIN_EFUSE_EN
R5,"39k pulldown; total +/-1% budget, part pending",2,GND
R6,"220k pulldown; total +/-1% budget, part pending",1,POWER_ENABLE_COMMAND
R6,"220k pulldown; total +/-1% budget, part pending",2,GND
C8,100nF local ceramic candidate; part pending,1,LOGIC3V3
C8,100nF local ceramic candidate; part pending,2,GND
R7,"4.7k series; total +/-1% budget, part pending",1,ENABLE_BUFFER_OUT
R7,"4.7k series; total +/-1% budget, part pending",2,MAIN_EFUSE_EN
U9,TPS3808G33DBVR,1,RAIL_HEALTH_N
U9,TPS3808G33DBVR,2,GND
U9,TPS3808G33DBVR,3,EFUSE_INPUT_5V
U9,TPS3808G33DBVR,4,CLAMP_CT
U9,TPS3808G33DBVR,5,LOGIC3V3
U9,TPS3808G33DBVR,6,EFUSE_INPUT_5V
R8,100k CT candidate; part pending,1,EFUSE_INPUT_5V
R8,100k CT candidate; part pending,2,CLAMP_CT
C9,100nF local ceramic candidate; part pending,1,EFUSE_INPUT_5V
C9,100nF local ceramic candidate; part pending,2,GND
U10,TPS3808G01DBVR,1,MAIN_EFUSE_EN
U10,TPS3808G01DBVR,2,GND
U10,TPS3808G01DBVR,3,CLAMP_MR_5V
U10,TPS3808G01DBVR,4,NC
U10,TPS3808G01DBVR,5,EFUSE_INPUT_5V
U10,TPS3808G01DBVR,6,EFUSE_INPUT_5V
U11,74LVC1G17GV,1,NC
U11,74LVC1G17GV,2,RAIL_HEALTH_N
U11,74LVC1G17GV,3,GND
U11,74LVC1G17GV,4,CLAMP_MR_5V
U11,74LVC1G17GV,5,EFUSE_INPUT_5V
R9,"10k cause pullup; total +/-1% budget, part pending",1,LOGIC3V3
R9,"10k cause pullup; total +/-1% budget, part pending",2,RAIL_HEALTH_N
C10,100nF local ceramic candidate; part pending,1,EFUSE_INPUT_5V
C10,100nF local ceramic candidate; part pending,2,GND
C11,100nF local ceramic candidate; part pending,1,EFUSE_INPUT_5V
C11,100nF local ceramic candidate; part pending,2,GND
