reference,part,source_assembly,source_reference,selection_status
BAT__C_F0_4,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F0_4,candidate_not_procurement_qualified
BAT__C_F0_5,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F0_5,candidate_not_procurement_qualified
BAT__C_F1_0,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F1_0,candidate_not_procurement_qualified
BAT__C_F1_1,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F1_1,candidate_not_procurement_qualified
BAT__C_F1_2,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F1_2,candidate_not_procurement_qualified
BAT__C_F1_3,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F1_3,candidate_not_procurement_qualified
BAT__C_F1_4,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F1_4,candidate_not_procurement_qualified
BAT__C_F1_5,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F1_5,candidate_not_procurement_qualified
BAT__C_F2_0,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F2_0,candidate_not_procurement_qualified
BAT__C_F2_1,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F2_1,candidate_not_procurement_qualified
BAT__C_F2_2,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F2_2,candidate_not_procurement_qualified
BAT__C_F2_3,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F2_3,candidate_not_procurement_qualified
BAT__C_F2_4,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F2_4,candidate_not_procurement_qualified
BAT__C_F2_5,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F2_5,candidate_not_procurement_qualified
BAT__C_F3_0,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F3_0,candidate_not_procurement_qualified
BAT__C_F3_1,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F3_1,candidate_not_procurement_qualified
BAT__C_F3_2,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F3_2,candidate_not_procurement_qualified
BAT__C_F3_3,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F3_3,candidate_not_procurement_qualified
BAT__C_F3_4,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F3_4,candidate_not_procurement_qualified
BAT__C_F3_5,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_F3_5,candidate_not_procurement_qualified
BAT__R_LD,TNPW060310K0BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_LD,candidate_not_procurement_qualified
BAT__R_PACK,TNPW060310K0BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_PACK,candidate_not_procurement_qualified
BAT__R_BAT,TNPW1206100RBEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_BAT,candidate_not_procurement_qualified
BAT__D_BAT,BAS116,schematics/power/battery_protection_integration_candidate_v1/assembly.json,D_BAT,ordering_suffix_pending
BAT__C_BAT,C1206C105K3RACTU,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_BAT,candidate_not_procurement_qualified
BAT__C_REG18_0,C1206C105K3RACTU,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_REG18_0,candidate_not_procurement_qualified
BAT__C_REG18_1,C1206C105K3RACTU,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_REG18_1,candidate_not_procurement_qualified
BAT__C_REG18_2,C1206C105K3RACTU,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_REG18_2,candidate_not_procurement_qualified
BAT__C_CP1,C1206C105K3RACTU,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_CP1,candidate_not_procurement_qualified
BAT__R_SHUNT,WSK25125L000FEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_SHUNT,candidate_not_procurement_qualified
BAT__R_SRP,TNPW0603100RBEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_SRP,candidate_not_procurement_qualified
BAT__R_SRN,TNPW0603100RBEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_SRN,candidate_not_procurement_qualified
BAT__C_CURRENT,C1206C104J3GACAUTO,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_CURRENT,candidate_not_procurement_qualified
BAT__TH_CELL,103AT-2,schematics/power/battery_protection_integration_candidate_v1/assembly.json,TH_CELL,candidate_not_procurement_qualified
BAT__TH_FET,103AT-2,schematics/power/battery_protection_integration_candidate_v1/assembly.json,TH_FET,candidate_not_procurement_qualified
BAT__R_ALLOW_SER,TNPW06031K00BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_ALLOW_SER,candidate_not_procurement_qualified
BAT__R_ALLOW_PD,TNPW060310K0BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_ALLOW_PD,candidate_not_procurement_qualified
BAT__U_REG0_LIMIT,TPS26600RHFR,schematics/power/battery_protection_integration_candidate_v1/assembly.json,U_REG0_LIMIT,candidate_not_procurement_qualified
BAT__R_REG0_UV_TOP,TNPW060340K2BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_REG0_UV_TOP,candidate_not_procurement_qualified
BAT__R_REG0_UV_BOTTOM,TNPW060310K0BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_REG0_UV_BOTTOM,candidate_not_procurement_qualified
BAT__R_REG0_OV_TOP,TNPW0603124KBEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_REG0_OV_TOP,candidate_not_procurement_qualified
BAT__R_REG0_OV_BOTTOM,TNPW060310K0BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_REG0_OV_BOTTOM,candidate_not_procurement_qualified
BAT__R_REG0_ILIM,TNPW0603118KBEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_REG0_ILIM,candidate_not_procurement_qualified
BAT__C_REG0_PROTECT_IN_1,GRM31C5C1H104JA01L,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_REG0_PROTECT_IN_1,candidate_not_procurement_qualified
BAT__C_REG0_PROTECT_IN_2,GRM31C5C1H104JA01L,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_REG0_PROTECT_IN_2,candidate_not_procurement_qualified
BAT__C_REG0_PROTECT_OUT_1,GRM31C5C1H104JA01L,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_REG0_PROTECT_OUT_1,candidate_not_procurement_qualified
BAT__C_REG0_PROTECT_OUT_2,GRM31C5C1H104JA01L,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_REG0_PROTECT_OUT_2,candidate_not_procurement_qualified
BAT__R_REG0_MODE,TNPW0805402KBEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_REG0_MODE,candidate_not_procurement_qualified
BAT__D_REG0,BAT46W-7-F,schematics/power/battery_protection_integration_candidate_v1/assembly.json,D_REG0,candidate_not_procurement_qualified
BAT__R_REG0_0,TNPW120644R2BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_REG0_0,candidate_not_procurement_qualified
BAT__R_REG0_1,TNPW120644R2BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_REG0_1,candidate_not_procurement_qualified
BAT__C_REG0,C1206C105K3RACTU,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_REG0,candidate_not_procurement_qualified
BAT__Q_REG0,FCX495TA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,Q_REG0,candidate_not_procurement_qualified
BAT__C_REGIN,C0603C223K4RACTU,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_REGIN,candidate_not_procurement_qualified
BAT__C_REG1,C1206C105K3RACTU,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_REG1,candidate_not_procurement_qualified
BAT__R_BQ_SCL,TNPW06032K21BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_BQ_SCL,candidate_not_procurement_qualified
BAT__R_BQ_SDA,TNPW06032K21BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_BQ_SDA,candidate_not_procurement_qualified
BAT__R_BQ_ALERT,TNPW060310K0BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_BQ_ALERT,candidate_not_procurement_qualified
BAT__U_BQ_HOST,STM32G030F6P6,schematics/power/battery_protection_integration_candidate_v1/assembly.json,U_BQ_HOST,candidate_not_procurement_qualified
BAT__C_BQ_HOST_HF,GRM31C5C1H104JA01L,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_BQ_HOST_HF,candidate_not_procurement_qualified
BAT__C_BQ_HOST_BULK,GRM31CR71H475KA12L,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_BQ_HOST_BULK,candidate_not_procurement_qualified
BAT__C_BQ_HOST_NRST,GRM31C5C1H104JA01L,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_BQ_HOST_NRST,candidate_not_procurement_qualified
BAT__R_BQ_HOST_NRST,TNPW0603100KBEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_BQ_HOST_NRST,candidate_not_procurement_qualified
BAT__R_BQ_AUX_START_REQUEST_PD,TNPW060347K5BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_BQ_AUX_START_REQUEST_PD,candidate_not_procurement_qualified
BAT__R_BQ_HOST_HEARTBEAT_PD,TNPW060310K0BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_BQ_HOST_HEARTBEAT_PD,candidate_not_procurement_qualified
BAT__U_BQ_HOST_SUP,TPS3808G01DBVR,schematics/power/battery_protection_integration_candidate_v1/assembly.json,U_BQ_HOST_SUP,candidate_not_procurement_qualified
BAT__R_BQ_HOST_SUP_TOP,TNPW060357K6BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_BQ_HOST_SUP_TOP,candidate_not_procurement_qualified
BAT__R_BQ_HOST_SUP_BOTTOM,TNPW060310K0BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_BQ_HOST_SUP_BOTTOM,candidate_not_procurement_qualified
BAT__C_BQ_HOST_SUP,GRM31C5C1H104JA01L,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_BQ_HOST_SUP,candidate_not_procurement_qualified
BAT__U_BQ_WD,TPS3431SDRBR,schematics/power/battery_protection_integration_candidate_v1/assembly.json,U_BQ_WD,candidate_not_procurement_qualified
BAT__C_BQ_WD,GRM31C5C1H104JA01L,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_BQ_WD,candidate_not_procurement_qualified
BAT__R_BQ_WD_CWD,TNPW060310K0BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_BQ_WD_CWD,candidate_not_procurement_qualified
BAT__U_BQ_RESET_BUFFER,74LVC1G17GV,schematics/power/battery_protection_integration_candidate_v1/assembly.json,U_BQ_RESET_BUFFER,candidate_not_procurement_qualified
BAT__C_BQ_RESET_BUFFER,GRM31C5C1H104JA01L,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_BQ_RESET_BUFFER,candidate_not_procurement_qualified
BAT__U_BQ_PERMIT_LATCH,SN74LVC1G74DCTR,schematics/power/battery_protection_integration_candidate_v1/assembly.json,U_BQ_PERMIT_LATCH,candidate_not_procurement_qualified
BAT__C_BQ_PERMIT_LATCH,GRM31C5C1H104JA01L,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_BQ_PERMIT_LATCH,candidate_not_procurement_qualified
BAT__U_BQ_MAIN_GATE,SN74LVC1G08DBVR,schematics/power/battery_protection_integration_candidate_v1/assembly.json,U_BQ_MAIN_GATE,candidate_not_procurement_qualified
BAT__C_BQ_MAIN_GATE,GRM31C5C1H104JA01L,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_BQ_MAIN_GATE,candidate_not_procurement_qualified
BAT__U_BQ_AUX_GATE,SN74LVC1G08DBVR,schematics/power/battery_protection_integration_candidate_v1/assembly.json,U_BQ_AUX_GATE,candidate_not_procurement_qualified
BAT__C_BQ_AUX_GATE,GRM31C5C1H104JA01L,schematics/power/battery_protection_integration_candidate_v1/assembly.json,C_BQ_AUX_GATE,candidate_not_procurement_qualified
BAT__R_MAIN_REQUEST_RAW_PD,TNPW060310K0BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_MAIN_REQUEST_RAW_PD,candidate_not_procurement_qualified
BAT__R_AUX_REQUEST_RAW_PD,TNPW060310K0BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_AUX_REQUEST_RAW_PD,candidate_not_procurement_qualified
BAT__R_ARM_EDGE_PD,TNPW060310K0BEEA,schematics/power/battery_protection_integration_candidate_v1/assembly.json,R_ARM_EDGE_PD,candidate_not_procurement_qualified
SYS__U1,MAX6816EUS+T,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,U1,candidate_not_procurement_qualified
SYS__U2,SN74LVC1G04DBVR,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,U2,candidate_not_procurement_qualified
SYS__U3,SN74HCS11PWR,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,U3,candidate_not_procurement_qualified
SYS__U4,74LVC1G17GV,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,U4,candidate_not_procurement_qualified
SYS__U5,TPS3808G33DBVR,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,U5,candidate_not_procurement_qualified
SYS__U6,SN74HCS74PW,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,U6,candidate_not_procurement_qualified
SYS__R1,100k value candidate; exact part/tolerance pending,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,R1,placeholder
SYS__R2,100k value candidate; exact part/tolerance pending,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,R2,placeholder
SYS__C1,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,C1,candidate_not_procurement_qualified
SYS__C2,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,C2,candidate_not_procurement_qualified
SYS__C3,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,C3,candidate_not_procurement_qualified
SYS__C4,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,C4,candidate_not_procurement_qualified
SYS__C5,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,C5,candidate_not_procurement_qualified
SYS__C6,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,C6,candidate_not_procurement_qualified
SYS__SW1,B3U-1000P,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,SW1,candidate_not_procurement_qualified
SYS__U7,TPS3808G33DBVR,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,U7,candidate_not_procurement_qualified
SYS__R3,100k value candidate; exact part/tolerance pending,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,R3,placeholder
SYS__R4,100k value candidate; exact part/tolerance pending,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,R4,placeholder
SYS__C7,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,C7,candidate_not_procurement_qualified
SYS__U8,74LVC1G17GV,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,U8,candidate_not_procurement_qualified
SYS__R6,"220k pulldown; total +/-1% budget, part pending",schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,R6,placeholder
SYS__C8,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,C8,candidate_not_procurement_qualified
SYS__R7,"4.7k series; total +/-1% budget, part pending",schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,R7,placeholder
SYS__U9,TPS3808G33DBVR,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,U9,candidate_not_procurement_qualified
SYS__R8,100k CT candidate; part pending,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,R8,placeholder
SYS__C9,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,C9,candidate_not_procurement_qualified
SYS__U10,TPS3808G01DBVR,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,U10,candidate_not_procurement_qualified
SYS__U11,74LVC1G17GV,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,U11,candidate_not_procurement_qualified
SYS__R9,"10k cause pullup; total +/-1% budget, part pending",schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,R9,placeholder
SYS__C10,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,C10,candidate_not_procurement_qualified
SYS__C11,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,C11,candidate_not_procurement_qualified
SYS__U14,74AUP1G06GW,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,U14,candidate_not_procurement_qualified
SYS__R14,TNPW12061K00BYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,R14,candidate_not_procurement_qualified
SYS__C14,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,C14,candidate_not_procurement_qualified
SYS__U15,74LVC1G17GV,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,U15,candidate_not_procurement_qualified
SYS__R15,3k local button pullup; total +/-1% budget; exact part pending,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,R15,placeholder
SYS__C15,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,C15,candidate_not_procurement_qualified
SYS__LEFT_U12,TPS3700DDCR,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_U12,candidate_not_procurement_qualified
SYS__LEFT_U13,74LVC1G17GV,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_U13,candidate_not_procurement_qualified
SYS__LEFT_R10,TNPW0603150KBYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_R10,candidate_not_procurement_qualified
SYS__LEFT_R11,TNPW08051M00BYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_R11,candidate_not_procurement_qualified
SYS__LEFT_R12,TNPW0603330KBYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_R12,candidate_not_procurement_qualified
SYS__LEFT_R13,TNPW060310K0BYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_R13,candidate_not_procurement_qualified
SYS__LEFT_C12,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_C12,candidate_not_procurement_qualified
SYS__LEFT_C13,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_C13,candidate_not_procurement_qualified
SYS__RIGHT_U12,TPS3700DDCR,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_U12,candidate_not_procurement_qualified
SYS__RIGHT_U13,74LVC1G17GV,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_U13,candidate_not_procurement_qualified
SYS__RIGHT_R10,TNPW0603150KBYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_R10,candidate_not_procurement_qualified
SYS__RIGHT_R11,TNPW08051M00BYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_R11,candidate_not_procurement_qualified
SYS__RIGHT_R12,TNPW0603330KBYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_R12,candidate_not_procurement_qualified
SYS__RIGHT_R13,TNPW060310K0BYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_R13,candidate_not_procurement_qualified
SYS__RIGHT_C12,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_C12,candidate_not_procurement_qualified
SYS__RIGHT_C13,GRM31C5C1H104JA01L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_C13,candidate_not_procurement_qualified
SYS__LEFT_U_POWER,TPS259813LRPW,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_U_POWER,candidate_not_procurement_qualified
SYS__LEFT_Q_REVERSE,SiSS80DN-T1-GE3 comparison only,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_Q_REVERSE,candidate_not_procurement_qualified
SYS__LEFT_R_GATE,,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_R_GATE,missing
SYS__LEFT_C_GATE,,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_C_GATE,missing
SYS__RIGHT_U_POWER,TPS259813LRPW,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_U_POWER,candidate_not_procurement_qualified
SYS__RIGHT_Q_REVERSE,SiSS80DN-T1-GE3 comparison only,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_Q_REVERSE,candidate_not_procurement_qualified
SYS__RIGHT_R_GATE,,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_R_GATE,missing
SYS__RIGHT_C_GATE,,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_C_GATE,missing
SYS__LEFT_R_ILM,,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_R_ILM,missing
SYS__RIGHT_R_ILM,,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_R_ILM,missing
SYS__LEFT_R_OV_TOP,,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_R_OV_TOP,missing
SYS__LEFT_R_OV_BOTTOM,,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_R_OV_BOTTOM,missing
SYS__RIGHT_R_OV_TOP,,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_R_OV_TOP,missing
SYS__RIGHT_R_OV_BOTTOM,,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_R_OV_BOTTOM,missing
SYS__U_STOP_LDO,TPS70933DBVR,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,U_STOP_LDO,candidate_not_procurement_qualified
SYS__C_STOP_IN,MKS2C042201K00JSSD,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,C_STOP_IN,candidate_not_procurement_qualified
SYS__C_STOP_OUT,GRM31CR71H475KA12L,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,C_STOP_OUT,candidate_not_procurement_qualified
SYS__R_STOP_MIN_LOAD,TNPW060330K1BYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,R_STOP_MIN_LOAD,candidate_not_procurement_qualified
SYS__LEFT_R_EN_PULLDOWN,TNPW060378K7BYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_R_EN_PULLDOWN,candidate_not_procurement_qualified
SYS__RIGHT_R_EN_PULLDOWN,TNPW060378K7BYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,RIGHT_R_EN_PULLDOWN,candidate_not_procurement_qualified
SYS__LEFT_U_WINDOW,TPS3700DDCR,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_U_WINDOW,candidate_not_procurement_qualified
SYS__LEFT_R_SOURCE_UV_TOP,TNPW0603102KBYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_R_SOURCE_UV_TOP,candidate_not_procurement_qualified
SYS__LEFT_R_SOURCE_UV_BOTTOM,TNPW060310K0BYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_R_SOURCE_UV_BOTTOM,candidate_not_procurement_qualified
SYS__LEFT_R_SOURCE_OV_TOP,TNPW0603130KBYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_R_SOURCE_OV_TOP,candidate_not_procurement_qualified
SYS__LEFT_R_SOURCE_OV_BOTTOM,TNPW060310K0BYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_R_SOURCE_OV_BOTTOM,candidate_not_procurement_qualified
SYS__LEFT_R_WINDOW_PULLUP,TNPW060310K0BYEA,schematics/power/servo_power_pololu_discharge_candidate_v1/assembly.json,LEFT_R_WINDOW_PULLUP,candidate_not_procurement_qualified
