reference,pin,net
CTRL__C_WD,1,CTRL3V3
CTRL__C_WD,2,PACK_RETURN
CTRL__R_WD_CWD,1,CTRL3V3
CTRL__R_WD_CWD,2,CTRL_WD_CWD
CTRL__U_RESET_BUFFER,1,
CTRL__U_RESET_BUFFER,2,CTRL_HOST_NRST
CTRL__U_RESET_BUFFER,3,PACK_RETURN
CTRL__U_RESET_BUFFER,4,CTRL_RESET_VALID_N
CTRL__U_RESET_BUFFER,5,CTRL3V3
CTRL__C_RESET_BUFFER,1,CTRL3V3
CTRL__C_RESET_BUFFER,2,PACK_RETURN
CTRL__U_PERMIT_LATCH,1,CTRL_ARM_EDGE
CTRL__U_PERMIT_LATCH,2,CTRL3V3
CTRL__U_PERMIT_LATCH,3,
CTRL__U_PERMIT_LATCH,4,PACK_RETURN
CTRL__U_PERMIT_LATCH,5,CTRL_LATCH_PERMIT
CTRL__U_PERMIT_LATCH,6,CTRL_RESET_VALID_N
CTRL__U_PERMIT_LATCH,7,CTRL3V3
CTRL__U_PERMIT_LATCH,8,CTRL3V3
CTRL__C_PERMIT_LATCH,1,CTRL3V3
CTRL__C_PERMIT_LATCH,2,PACK_RETURN
CTRL__U_MAIN_GATE,1,CTRL_MAIN_REQUEST_RAW
CTRL__U_MAIN_GATE,2,CTRL_LATCH_PERMIT
CTRL__U_MAIN_GATE,3,PACK_RETURN
CTRL__U_MAIN_GATE,4,MAIN_START_ALLOW
CTRL__U_MAIN_GATE,5,CTRL3V3
CTRL__C_MAIN_GATE,1,CTRL3V3
CTRL__C_MAIN_GATE,2,PACK_RETURN
CTRL__U_AUX_GATE,1,CTRL_AUX_REQUEST_RAW
CTRL__U_AUX_GATE,2,CTRL_LATCH_PERMIT
CTRL__U_AUX_GATE,3,PACK_RETURN
CTRL__U_AUX_GATE,4,LOGIC_START_ALLOW
CTRL__U_AUX_GATE,5,CTRL3V3
CTRL__C_AUX_GATE,1,CTRL3V3
CTRL__C_AUX_GATE,2,PACK_RETURN
CTRL__R_MAIN_REQUEST_RAW_PD,1,CTRL_MAIN_REQUEST_RAW
CTRL__R_MAIN_REQUEST_RAW_PD,2,PACK_RETURN
CTRL__R_AUX_REQUEST_RAW_PD,1,CTRL_AUX_REQUEST_RAW
CTRL__R_AUX_REQUEST_RAW_PD,2,PACK_RETURN
CTRL__R_ARM_EDGE_PD,1,CTRL_ARM_EDGE
CTRL__R_ARM_EDGE_PD,2,PACK_RETURN
CTRL__U_LDO,1,CONTROL_INPUT_PROTECTED
CTRL__U_LDO,2,PACK_RETURN
CTRL__U_LDO,3,
CTRL__U_LDO,4,
CTRL__U_LDO,5,CTRL3V3
CTRL__C_LDO_IN,1,CONTROL_INPUT_PROTECTED
CTRL__C_LDO_IN,2,PACK_RETURN
CTRL__C_LDO_OUT,1,CTRL3V3
CTRL__C_LDO_OUT,2,PACK_RETURN
CTRL__R_PACK_WARN_PU,1,CTRL3V3
CTRL__R_PACK_WARN_PU,2,PACK_UV_WARN_N
U_CTRL_INPUT_LIMIT,1,
U_CTRL_INPUT_LIMIT,2,
U_CTRL_INPUT_LIMIT,3,
U_CTRL_INPUT_LIMIT,4,
U_CTRL_INPUT_LIMIT,5,
U_CTRL_INPUT_LIMIT,6,
U_CTRL_INPUT_LIMIT,7,
U_CTRL_INPUT_LIMIT,8,PACK_FUSED_REVERSE_PROTECTED
U_CTRL_INPUT_LIMIT,9,PACK_FUSED_REVERSE_PROTECTED
U_CTRL_INPUT_LIMIT,10,CTRL_INPUT_UVLO
U_CTRL_INPUT_LIMIT,11,
U_CTRL_INPUT_LIMIT,12,CTRL_INPUT_OVP
U_CTRL_INPUT_LIMIT,13,CTRL_INPUT_MODE
U_CTRL_INPUT_LIMIT,14,
U_CTRL_INPUT_LIMIT,15,CTRL_INPUT_PROTECT_RTN
U_CTRL_INPUT_LIMIT,16,
U_CTRL_INPUT_LIMIT,17,PACK_RETURN
U_CTRL_INPUT_LIMIT,18,
U_CTRL_INPUT_LIMIT,19,CTRL_INPUT_ILIM
U_CTRL_INPUT_LIMIT,20,CTRL_INPUT_DVDT
U_CTRL_INPUT_LIMIT,21,
U_CTRL_INPUT_LIMIT,22,
U_CTRL_INPUT_LIMIT,23,CONTROL_INPUT_PROTECTED
U_CTRL_INPUT_LIMIT,24,CONTROL_INPUT_PROTECTED
U_CTRL_INPUT_LIMIT,EP,CTRL_INPUT_PROTECT_RTN
R_CTRL_INPUT_UV_TOP,1,PACK_FUSED_REVERSE_PROTECTED
R_CTRL_INPUT_UV_TOP,2,CTRL_INPUT_UVLO
R_CTRL_INPUT_UV_BOTTOM,1,CTRL_INPUT_UVLO
R_CTRL_INPUT_UV_BOTTOM,2,CTRL_INPUT_PROTECT_RTN
R_CTRL_INPUT_OV_TOP,1,PACK_FUSED_REVERSE_PROTECTED
R_CTRL_INPUT_OV_TOP,2,CTRL_INPUT_OVP
R_CTRL_INPUT_OV_BOTTOM,1,CTRL_INPUT_OVP
R_CTRL_INPUT_OV_BOTTOM,2,CTRL_INPUT_PROTECT_RTN
R_CTRL_INPUT_ILIM,1,CTRL_INPUT_ILIM
R_CTRL_INPUT_ILIM,2,CTRL_INPUT_PROTECT_RTN
C_CTRL_INPUT_PROTECT_IN_1,1,PACK_FUSED_REVERSE_PROTECTED
C_CTRL_INPUT_PROTECT_IN_1,2,PACK_RETURN
C_CTRL_INPUT_PROTECT_IN_2,1,PACK_FUSED_REVERSE_PROTECTED
C_CTRL_INPUT_PROTECT_IN_2,2,PACK_RETURN
C_CTRL_INPUT_PROTECT_OUT_1,1,CONTROL_INPUT_PROTECTED
C_CTRL_INPUT_PROTECT_OUT_1,2,PACK_RETURN
C_CTRL_INPUT_PROTECT_OUT_2,1,CONTROL_INPUT_PROTECTED
C_CTRL_INPUT_PROTECT_OUT_2,2,PACK_RETURN
R_CTRL_INPUT_MODE,1,CTRL_INPUT_MODE
R_CTRL_INPUT_MODE,2,CTRL_INPUT_PROTECT_RTN
C_CTRL_INPUT_DVDT,1,CTRL_INPUT_DVDT
C_CTRL_INPUT_DVDT,2,CTRL_INPUT_PROTECT_RTN
